EmployeeID,Date,Amount,Comment,,,,,,,,,,,
20,5/6/2020,-5000,Advance Deduction,,,,,,,,,,,
106,5/6/2020,70,1% Interest,,,,,,,,,,,
106,5/6/2020,-3070,Advance Deduction,,,,,,,,,,,
268,5/6/2020,-3000,Advance Deduction,,,,,,,,,,,
376,5/6/2020,280,1% Interest,,,,,,,,,,,
376,5/6/2020,-6280,Advance Deduction,,,,,,,,,,,
412,5/6/2020,215,1% Interest,,,,,,,,,,,
412,5/6/2020,-3715,Advance Deduction,,,,,,,,,,,
496,5/6/2020,-1000,Advance Deduction,,,,,,,,,,,
558,5/6/2020,40,1% Interest,,,,,,,,,,,
558,5/6/2020,-2040,Advance Deduction,,,,,,,,,,,
570,5/6/2020,-2000,Advance Deduction,,,,,,,,,,,
605,5/6/2020,80,1% Interest,,,,,,,,,,,
605,5/6/2020,-5080,Advance Deduction,,,,,,,,,,,
608,5/6/2020,175,1% Interest,,,,,,,,,,,
608,5/6/2020,-2675,Advance Deduction,,,,,,,,,,,
609,5/6/2020,25,1% Interest,,,,,,,,,,,
609,5/6/2020,-2525,Advance Deduction,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
